Register,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,testFrameworks,Generate,Compile,Build
5966,true,"""monolith""","""jwt""","""hazelcast""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""no""",true,false,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
5968,true,"""microservice""","""jwt""","""hazelcast""",ND,ND,"""sql""","""InMemory""","""mariadb""","""maven""","""elasticsearch""",ND,ND,true,"[""gatling"",""cucumber""]",OK,OK,OK
5969,true,"""gateway""","""jwt""","""hazelcast""","""no""","""no""","""sql""","""mariadb""","""mariadb""","""maven""","""elasticsearch""",false,false,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
5976,true,"""monolith""","""jwt""","""no""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",false,false,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
5977,true,"""monolith""","""session""","""hazelcast""","""no""","""no""","""sql""","""mariadb""","""mariadb""","""maven""","""elasticsearch""",true,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
5981,true,"""monolith""","""jwt""","""hazelcast""","""no""","""no""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",true,false,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5984,true,"""monolith""","""session""","""no""","""hazelcast""","""spring-websocket""","""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",false,false,true,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5986,true,"""monolith""","""oauth2""","""no""","""no""","""no""","""sql""","""postgresql""","""postgresql""","""maven""","""no""",false,false,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
5988,true,"""gateway""","""jwt""","""no""","""hazelcast""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",false,false,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
5990,true,"""uaa""","""uaa""","""hazelcast""",ND,ND,"""sql""","""mysql""","""mysql""","""maven""","""no""",ND,ND,true,"[""gatling"",""cucumber""]",OK,OK,OK
5991,true,"""gateway""","""jwt""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",false,true,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
5996,true,"""monolith""","""oauth2""","""no""","""hazelcast""","""spring-websocket""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",false,true,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6001,true,"""monolith""","""session""","""hazelcast""","""hazelcast""","""no""","""sql""","""postgresql""","""postgresql""","""maven""","""elasticsearch""",true,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6008,true,"""monolith""","""session""","""hazelcast""","""no""","""spring-websocket""","""sql""","""mariadb""","""mariadb""","""maven""","""elasticsearch""",false,true,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6010,true,"""gateway""","""jwt""","""hazelcast""","""hazelcast""","""spring-websocket""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",false,true,false,"[""cucumber"",""gatling"",""protractor""]",OK,OK,OK
6012,true,"""monolith""","""jwt""","""no""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""no""",true,true,true,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
6013,true,"""gateway""","""jwt""","""no""","""no""","""spring-websocket""","""sql""","""mariadb""","""mariadb""","""maven""","""no""",false,false,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
